## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
21021	CR General | TKW | Fix Credit - Fix Credit 1 - Desktop	Online - PPC Other	Paid Search - Non-Brand	CreditRepair	Other	Other	Other	nan	nan
21024	CR General | TKW | Fix Credit - Company Search 1 - Mobile	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21025	CR General | TKW | Fix Credit - Company Search 1 - Desktop	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21026	CR General | TKW | Clean/Clear Credit 1 - Mobile	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21028	CR General | TKW | Credit Repair -Law/Attorney 1 - Desktop	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21029	CR General | TKW | Credit Repair -Law/Attorney 1 - Mobile	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21030	CR General | TKW | Credit Repair - Length Of Time 1 - Mobile	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21045	Dot dash - Affiliate - Investopedia	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21114	CR General | TKW | Credit Repair - Credit Repair 1 - Desktop	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21116	CR General | TKW | Credit Repair - CR Cost 1 - Desktop	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21124	CR General | TKW | Collections - Collection Removal 1 - Mobile	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21125	CR General | TKW | Collections - Collection Removal 1 - Desktop	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21142	ExtraCredit Email	Remarketing - Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
21168	NorCal Marketing - Affiliate Review Site Tampabay.com	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21170	Consumervoice - Review	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21173	NorCal Marketing - Affiliate - TimesUnion.com	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21211	HS Spanish-ACE	Hotswap External - Spanish	Hotswap External	CreditRepair	Other	Other	Other	nan	nan
21223	ACE Affiliate - Spanish 	Affiliate - Spanish	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21224	Online Affiliate - Applied Minds - Spanish	Affiliate - Spanish	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21229	DGMAX - Spanish - Email	Affiliate - Spanish	Affiliate	CreditRepair	Other	Other	Other	nan	nan
21232	Atwave Email - Spanish	Email Marketing - Spanish	Email Marketing	CreditRepair	Other	Other	Other	nan	nan
21249	Bing: NBrand Mobile - Credit Repair Spanish 1 - Call Only	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
21255	CR_RMKTG_SFMC_CRAS_3	Remarketing - CV Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
21256	CR_RMKTG_SFMC_CRAS_0	Remarketing - CV Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
21266	CR General | SKW - [credit repair services] - Mobile	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
